URL,Product,ProductCode,PriceIncVAT,PriceExcVAT,SalesUnit,Manufacturer,SellingUnitDesc
https://www.grantandstone.co.uk/22mm-x-3-4fi-straight-adaptor-compression-cfi303-22x3-4,22mm X 3/4Fi Straight Adaptor Compression,CFI303/22X3/4,£4.39,£3.66,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-3-4-fi-straight-adaptor-compression-cfi303-15x3-4,15Mm X 3/4 Fi Straight Adaptor Compression,CFI303/15X3/4,£3.82,£3.18,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/mgt-gas-test-ball-valve-15mm-compression-tcbbf15-mgt,MGT Gas Test Ball Valve 15mm Compression,TCBBF15/MGT,£9.68,£8.07,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/1200mm-long-natural-gas-bayonet-cooker-hose-gasc-hosebay,1200Mm Long Natural Gas Bayonet Cooker Hose,GASC/HOSEBAY,£29.51,£24.59,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/endfeed-22mm-equal-tee-enf109-22,Endfeed 22mm Equal Tee,ENF109/22,£3.20,£2.67,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-28mm-equal-tee-enf109-28,Endfeed 28mm Equal Tee,ENF109/28,£4.99,£4.16,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-equal-tee-enf109-15,Endfeed 15mm Equal Tee,ENF109/15,£0.92,£0.77,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-28mm-45deg-street-elbow-enf108-45-28,Endfeed 28mm 45Deg Street Elbow,ENF108/45/28,£5.95,£4.96,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/28mm-3m-yellow-plastic-coated-table-x-copper-tube-cop28-3-x-pvc,28Mm 3M Yellow Plastic Coated Table X Copper Tube,COP28/3/X/PVC,£50.93,£42.44,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/28mm-straight-coupling-compression-cfi301-28,28mm Straight Coupling Compression,CFI301/28,£7.12,£5.93,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-x-1-2fi-straight-adaptor-compression-cfi303-15x1-2,15mm X 1/2Fi Straight Adaptor Compression,CFI303/15X1/2,£2.08,£1.73,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-45deg-street-elbow-endfeed-enf108-45-22,22Mm 45Deg Street Elbow Endfeed,ENF108/45/22,£3.37,£2.81,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-3m-yellow-plastic-coated-table-x-copper-tube-cop22-3-x-pvc,22Mm 3M Yellow Plastic Coated Table X Copper Tube,COP22/3/X/PVC,£38.93,£32.44,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/15mm-3m-yellow-plastic-coated-table-x-copper-tube-cop15-3-x-pvc,15Mm 3M Yellow Plastic Coated Table X Copper Tube,COP15/3/X/PVC,£18.72,£15.60,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/22mm-x-3mtr-long-bs-en-1057-r250-copper-tube-cop22-3,22Mm X 3Mtr Long Bs En 1057 - R250 Copper Tube,COP22/3,£27.24,£22.70,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/28mm-x-3mtr-long-bs-en-1057-r250-copper-tube-cop28-3,28Mm X 3Mtr Long Bs En 1057 - R250 Copper Tube,COP28/3,£27.77,£23.14,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/22mm-x-3-4-fi-flexi-tap-connector-300mm-long-ftc22-75-12,22Mm X 3/4 Fi Flexi Tap Connector 300Mm Long,FTC22/.75/12,£7.64,£6.37,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-straight-coupling-compression-cfi301-22,22mm Straight Coupling Compression,CFI301/22,£4.46,£3.72,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-x-1-2fi-straight-adaptor-enf201f-15x-5,Endfeed 15mm X 1/2Fi Straight Adaptor,ENF201F/15X.5,£2.68,£2.23,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-straight-coupling-compression-cfi301-15,15mm Straight Coupling Compression,CFI301/15,£2.54,£2.12,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-x-1-mi-elbow-compression-cfi402-22x1,22Mm X 1 Mi Elbow Compression,CFI402/22X1,£7.93,£6.61,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-1-2mi-elbow-compression-cfi402-15x1-2,15Mm X 1/2Mi Elbow Compression,CFI402/15X1/2,£3.02,£2.52,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-45deg-street-elbow-enf108-45-15,Endfeed 15mm 45Deg Street Elbow,ENF108/45/15,£2.10,£1.75,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-28mm-90deg-street-elbow-enf108-28,Endfeed 28mm 90Deg Street Elbow,ENF108/28,£3.43,£2.86,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-22mm-90deg-street-elbow-enf108-22,Endfeed 22mm 90Deg Street Elbow,ENF108/22,£2.18,£1.82,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-90deg-street-elbow-enf108-15,Endfeed 15mm 90Deg Street Elbow,ENF108/15,£0.89,£0.74,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-28mm-45deg-elbow-enf107-45-28,Endfeed 28mm 45Deg Elbow,ENF107/45/28,£4.25,£3.54,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-x-3-4mi-elbow-compression-cfi402-22x3-4,22Mm X 3/4Mi Elbow Compression,CFI402/22X3/4,£5.44,£4.53,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/28mm-x-1-mi-straight-adaptor-compression-cfi302-28x1,28Mm X 1 Mi Straight Adaptor Compression,CFI302/28X1,£5.15,£4.29,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-full-flow-cp-cxc-isolating-valve-tcbbf15-cp,15Mm Full Flow Cp Cxc Isolating Valve,TCBBF15/CP,£6.44,£5.37,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-l-p-cxc-cp-isolating-valve-tcbbf15-cplp,15mm L/P CxC CP Isolating Valve,TCBBF15/CPLP,£1.74,£1.45,Sold by / EA,STH Westco,Each
https://www.grantandstone.co.uk/22mm-x-19mm-wall-climaflex-lagging-2mtr-foam-grey-plf22x19f-lag,22Mm X 19Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF22X19F/LAG,£14.29,£11.91,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/28mm-x-19mm-wall-climaflex-lagging-2mtr-foam-grey-plf28x19f-lag,28Mm X 19Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF28X19F/LAG,£10.87,£9.06,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/22mm-cp-cxc-isolating-valve-tcbbf22-cp,22Mm Cp Cxc Isolating Valve,TCBBF22/CP,£10.01,£8.34,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/15mm-x-3mtr-long-bs-en-1057-r250-copper-tube-cop15-3,15Mm X 3Mtr Long Bs En 1057 - R250 Copper Tube,COP15/3,£14.20,£11.83,Sold by / EA,The Lawton Tube Co Ltd,Each
https://www.grantandstone.co.uk/endfeed-15mm-straight-coupling-enf101-15,Endfeed 15mm Straight Coupling,ENF101/15,£0.54,£0.45,Sold by / EA,STH Westco,Each
https://www.grantandstone.co.uk/32mm-bottle-trap-75mm-seal-anti-syphon-wp45pv,32mm Bottle Trap 75Mm Seal Anti-Syphon,WP45PV,£24.80,£20.67,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/32mm-75mm-seal-p-tubular-swivel-trap-wt52-wt52,32Mm 75Mm Seal P Tubular Swivel Trap Wt52,WT52,£15.05,£12.54,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/40mm-swivel-p-trap-75mm-seal-wt53-wt53,40Mm Swivel P Trap 75Mm Seal Wt53,WT53,£14.23,£11.86,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/32mm-tubular-swivel-p-trap-75mm-seal-anti-syphon-wt52pv,32Mm Tubular Swivel P Trap 75Mm Seal Anti-Syphon,WT52PV,£20.09,£16.74,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/15mm-x-1-2mi-chrome-plated-elbow-compression-cficp40215x12,15mm X 1/2Mi Chrome Plated Elbow Compression,CFICP40215X12,£2.70,£2.25,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-x-1-2fi-chrome-plated-elbow-compression-cficp40315x12,15Mm X 1/2Fi Chrome Plated Elbow Compression,CFICP40315X12,£2.83,£2.36,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-socket-blank-end-polyplumb-pb1915-plupb1915,15Mm Socket Blank End Polyplumb Pb1915,PLUPB1915,£2.41,£2.01,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/22mm-socket-blank-end-polyplumb-pb1922-plupb1922,22Mm Socket Blank End Polyplumb Pb1922,PLUPB1922,£3.54,£2.95,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/15mm-pipe-support-sleeve-polyplumb-metal-50-plupb6415m,15mm Pipe Support Sleeve Polyplumb Metal [50],PLUPB6415M,£0.60,£0.50,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/15mm-x-1-2fi-chrome-plated-coupling-compression-cficp30315x12,15mm X 1/2Fi Chrome Plated Coupling Compression,CFICP30315X12,£2.30,£1.92,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-pipe-support-sleeve-metal-pb6422m-50-polyplumb-plupb6422m,22Mm Pipe Support Sleeve Metal Pb6422M (50) Polyplumb,PLUPB6422M,£0.68,£0.57,Sold by / EA,Polypipe,Each
