A,A1,AB,AB1,AB2,AD,AD1,Access width,Aim,ArticleCode,A²,B,B1,B2,B3,B4,B5,Battery capacity,Battery charge time,Blade,Cabinet width,Colour / surface,Compatibility,Connection,Content,Cut-out,D,D1,DN,DN1,DNV,Discharge rate,Door,Drain,E,E1,Fastening,Fastening points,G,G1,Gl,Glass thickness,Glass thickness door,Gs,H,H1,H2,H3,Hinge material,IK,ImageURL,Inlet,Insulation,K,K1 max.,K2 max.,K3 max.,L,L1,L2,L3,La,Luminous flux,Luminous flux (max. / above / below),"Luminous flux, above","Luminous flux, below","Luminous flux, indirect",M,Main element weight,Mix & Match,Mixer,Model,NPT,Nominal width,Number of outlets,Number of power sockets,Outlet,Overflow,PN,PageURL,Plug type,Power consumption,Power consumption of mirror heating,Power socket,Product material,Protection class,Quick-release hinges,R,R1,RMF,RMF1,Rg,Rp,Rp1,RpMF,RpMF1,S,SW,Sanitary module,Sealing of connection,Shelf space,Soft-closing mechanism,Specification number,Straight connector,T,T1,T2,T3,T4,T5,T6,Tap hole,Tip,Title,Total water capacity,Towel rail,Trap cutout,Washbasin width,With overflow hole,X,X1,X2,X3,X4,X5,X6,Z,Z1,Z2,Z3,Z4,Z5,Z6,a,a1,arc,arc2,b,c,"d, ø","d1, ø","d2, ø","d3, ø","da, ø","di, ø","di1, ø",h,h1,h2,k,l,l1,l2,m,n,r,s,s1
,,,,,,,,,362.851.26.1,,4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 ″,,,,,,1.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/15/57/DAS_121557_20170925_174510.jpg",,,,,,,12 cm,,,,,,,,,,10 mm,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit base plate, rectangular, two-hole, with threaded socket M10 / G 1/2"" | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,8.5 cm,,,,,,,,,,,,,0.5 cm,,,,,,,,,,,
,,,,,,,,,151.105.21.1,,,,,,,,,,,,gloss chrome-plated,,,,,,,,,,,,,,,,,1 1/4 ″,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/19/45/DAS_121945_20170922_092959.jpg",,,,,,,37 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_102280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit P-trap for washbasin, with sleeve, horizontal outlet | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,40 mm,,,,,,,0–14 cm,,,,,,,,,,,
,,,,,,,,,109.041.00.1,,44 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/18/68/DAS_4901868_20250115_144412.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_158541,,,,,,,,,,,,,,,,,,,,,,,,,12 cm,,,,,,,,,"Geberit Omega concealed cistern 12 cm, 6 / 3 litres, installation height 82 cm | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,601.231.00.2,,,,,,,,,,,,,,,,,2.7 cm,,12,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/14/21/DAS_131421_20170925_150737.jpg",,,,,,,50 m,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_102831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mepla system pipe, ML, MeplaTherm, in protective tube, in coils | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,16 mm,,,,,11.5 mm,,,,,,,,,,,,2.25 mm,
,,,,,,,,,500.208.01.1,,35 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,33 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/80/10/DAS_3018010_20221107_094355.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,horizontal,,,https://catalog.geberit.co.uk/en-GB/product/PRO_548330,,,,,,,,,,,,,,,,,,,,,,,,,54 cm,,,,,,,,,"Geberit Smyle Square wall-hung WC, washdown, shrouded, Rimfree | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,308.082.14.1,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,20.3 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/12/30/DAS_121230_20170925_171543.jpg",,,,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Silent-db20 double branch fitting 88.5°, swept-entry | Geberit product catalogue",,,,,,,12 cm,10.5 cm,8.3 cm,,,,,,,,,,,,,88.5 °,,,,90 mm,90 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,310.102.14.1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,22.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/12/30/DAS_121230_20170925_171543.jpg",,,,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Silent-db20 double branch fitting 88.5°, swept-entry | Geberit product catalogue",,,,,,,13.5 cm,11.5 cm,9 cm,,,,,,,,,,,,,88.5 °,,,,110 mm,110 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,152.051.01.1,,14 cm,,,,,,,,,,white,,,,,,,,,,0.6 l/s,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/89/68/DAS_1848968_20200821_111400.jpg",,,,,,,14.2–34.2 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_1848556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washbasin drain, space-saving model, slim design, with lever actuation and valve cover, horizontal outlet, for Geberit ONE washbasin, vertical outlet | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,32 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,372.776.16.1,,,,,,,,,,,,,,,,,33.1 cm,,300,,,,,,,,,,,,,,,,6 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/25/52/DAS_122552_20170925_161732.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit electrofusion tape set for anchor point | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,315 mm,323 mm,,,,,,3 cm,,,,,,,,,,,
,,,,,,,,,620.720.00.1,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,3.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/14/DAS_1756414_20220629_153805.jpg",,,,,,,7 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor to copper pipe clamping ring union | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16 mm,15 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,620.721.00.1,,,,,,,,,,,,,,,,,,,15 / 12,,,,,,,,,,,,,,,,3.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/14/DAS_1756414_20220629_153805.jpg",,,,,,,7 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor to copper pipe clamping ring union | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,20 mm,15 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,620.722.00.1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,4.1 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/64/14/DAS_1756414_20220629_153805.jpg",,,,,,,7.4 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_895449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit FlowFit adaptor to copper pipe clamping ring union | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,25 mm,22 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,231910000,,35 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,26 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/90/70/DAS_369070_20180920_102740.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,visible,,https://catalog.geberit.co.uk/en-GB/product/PRO_321695,,,,,,,,,,,,,,,,,,,,,,,,,54 cm,,,,,,,,,"Geberit iCon Square wall-hung bidet, shrouded | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,94962,,,,,,,,,,,,,,,,,,,12,,15,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,7.7 cm,10.4 cm,8.5 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,1.7 cm,2.4 cm,,,,,,,,,,,,15 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94963,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,8 cm,10.4 cm,8.5 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,1.7 cm,2.4 cm,,,,,,,,,,,,18 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94964,,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,8.9 cm,11.7 cm,10.6 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,2.1 cm,2.9 cm,,,,,,,,,,,,22 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94965,,,,,,,,,,,,,,,,,,,25,,25,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,9.6 cm,12.1 cm,10.6 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,2.4 cm,3.1 cm,,,,,,,,,,,,28 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94966,,,,,,,,,,,,,,,,,,,32,,32,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,10.9 cm,12.6 cm,10.6 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,2.7 cm,3.4 cm,,,,,,,,,,,,35 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94967,,,,,,,,,,,,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,14.1 cm,14 cm,15 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,3.6 cm,4.5 cm,,,,,,,,,,,,42 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,94968,,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/68/01/DAS_1526801_20190830_122552.jpg",,,,,,,15.7 cm,15.5 cm,17 cm,,,,,,,,,,,,,,,,,,,10 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_1502798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress ball valve, NPW, with spindle extension | Geberit product catalogue",,,,,,,,,,,,,3.9 cm,4.8 cm,,,,,,,,,,,,54 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,116.165.14.1,,5.5 cm,,,,,,,,,,black matt / easy-to-clean coated,,,,,,,,,,,,,,,,,,,,,,,19.3 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/77/29/DAS_2697729_20220708_150043.jpg",,,,,,,,,,,,,,,,,,,,without mixer,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_292164,,,,,,,,,,,,,,,,,,,,,,,,,16.7 cm,,,,,,,,,"Geberit Piave washbasin tap, deck-mounted, generator operation, with exposed function box | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,116.165.21.1,,5.5 cm,,,,,,,,,,gloss chrome-plated,,,,,,,,,,,,,,,,,,,,,,,19.3 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/60/40/DAS_2576040_20220719_095311.jpg",,,,,,,,,,,,,,,,,,,,without mixer,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_292164,,,,,,,,,,,,,,,,,,,,,,,,,16.7 cm,,,,,,,,,"Geberit Piave washbasin tap, deck-mounted, generator operation, with exposed function box | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
