A,A1,AB,AB1,AB2,AD,AD1,Access width,Aim,ArticleCode,A²,B,B1,B2,B3,B4,B5,Battery capacity,Battery charge time,Blade,Cabinet width,Colour / surface,Compatibility,Connection,Content,Cut-out,D,D1,DN,DN1,DNV,Discharge rate,Door,Drain,E,E1,Fastening,Fastening points,G,G1,Gl,Glass thickness,Glass thickness door,Gs,H,H1,H2,H3,Hinge material,IK,ImageURL,Inlet,Insulation,K,K1 max.,K2 max.,K3 max.,L,L1,L2,L3,La,Luminous flux,Luminous flux (max. / above / below),"Luminous flux, above","Luminous flux, below","Luminous flux, indirect",M,Main element weight,Mix & Match,Mixer,Model,NPT,Nominal width,Number of outlets,Number of power sockets,Outlet,Overflow,PN,PageURL,Plug type,Power consumption,Power consumption of mirror heating,Power socket,Product material,Protection class,Quick-release hinges,R,R1,RMF,RMF1,Rg,Rp,Rp1,RpMF,RpMF1,S,SW,Sanitary module,Sealing of connection,Shelf space,Soft-closing mechanism,Specification number,Straight connector,T,T1,T2,T3,T4,T5,T6,Tap hole,Tip,Title,Total water capacity,Towel rail,Trap cutout,Washbasin width,With overflow hole,X,X1,X2,X3,X4,X5,X6,Z,Z1,Z2,Z3,Z4,Z5,Z6,a,a1,arc,arc2,b,c,"d, ø","d1, ø","d2, ø","d3, ø","da, ø","di, ø","di1, ø",h,h1,h2,k,l,l1,l2,m,n,r,s,s1
,,,,,,,,,612.293.00.5,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/55/04/DAS_125504_20170925_151107.jpg",,,,,,,5.2 cm,5.5 cm,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_102892,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mepla elbow tap connector 90° | Geberit product catalogue,,,,,,,,,,,,,2.9 cm,,,,,,,,,90 °,,,,20 mm,,,,,,,,,,,1.8 cm,2.6 cm,,,,,,
,,,,,,,,,115.909.16.6,,24.6 cm,,,,,,,,,,"Plate: black matt-coated, easy-to-clean- coated<br/>Design ring: black",,,,,,,,,,,,,,,,,,,,,,,16.4 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/01/64/DAS_2720164_20220809_081205.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_2159417,,≤ 4 W,,,Stainless steel,,,,,,,,,,,,,,,,,,,,1.5 cm,,,,,,,,,"Geberit electronic WC flush control, battery operation, for Sigma concealed cistern 12 cm, with Sigma10 actuator plate, round, automatic/touchless, screwable | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,115.909.DW.6,,24.6 cm,,,,,,,,,,Plate: black<br/>Design ring: matt black,,,,,,,,,,,,,,,,,,,,,,,16.4 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/01/78/DAS_2720178_20220809_081411.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_2159417,,≤ 4 W,,,Stainless steel,,,,,,,,,,,,,,,,,,,,1.5 cm,,,,,,,,,"Geberit electronic WC flush control, battery operation, for Sigma concealed cistern 12 cm, with Sigma10 actuator plate, round, automatic/touchless, screwable | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,115.909.SN.6,,24.6 cm,,,,,,,,,,"Plate: brushed, easy-to-clean- coated<br/>Design ring: polished",,,,,,,,,,,,,,,,,,,,,,,16.4 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/44/31/DAS_294431_20170926_134110.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_2159417,,≤ 4 W,,,Stainless steel,,,,,,,,,,,,,,,,,,,,1.5 cm,,,,,,,,,"Geberit electronic WC flush control, battery operation, for Sigma concealed cistern 12 cm, with Sigma10 actuator plate, round, automatic/touchless, screwable | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,51675,,,,,,,,,,,,,,,,,11.5 cm,,25,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,6.9 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,4.6 cm,,,,,,,,,,,,,28 mm,,,,,25 mm,,,,,85 mm,1.8 cm,,,14 mm,4 pc.,,,
,,,,,,,,,51676,,,,,,,,,,,,,,,,,14 cm,,32,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,7.2 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,4.6 cm,,,,,,,,,,,,,35 mm,,,,,32 mm,,,,,100 mm,1.8 cm,,,18 mm,4 pc.,,,
,,,,,,,,,51677,,,,,,,,,,,,,,,,,15 cm,,40,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,7.9 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,4.9 cm,,,,,,,,,,,,,42 mm,,,,,39 mm,,,,,110 mm,1.8 cm,,,18 mm,4 pc.,,,
,,,,,,,,,51678,,,,,,,,,,,,,,,,,16.5 cm,,50,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,8.7 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,5.2 cm,,,,,,,,,,,,,54 mm,,,,,51 mm,,,,,125 mm,1.8 cm,,,18 mm,4 pc.,,,
,,,,,,,,,51679,,,,,,,,,,,,,,,,,18.5 cm,,65,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,11.8 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,6.5 cm,,,,,,,,,,,,,76.1 mm,,,,,72 mm,,,,,145 mm,1.8 cm,,,18 mm,4 pc.,,,
,,,,,,,,,51680,,,,,,,,,,,,,,,,,20 cm,,80,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,12.5 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,6.5 cm,,,,,,,,,,,,,88.9 mm,,,,,84.8 mm,,,,,160 mm,2 cm,,,18 mm,8 pc.,,,
,,,,,,,,,51681,,,,,,,,,,,,,,,,,22 cm,,100,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/37/09/DAS_413709_20170925_151550.jpg",,,,,,,13 cm,,,,,,,,,,,,,,,,,,,,,10 / 16 bar,https://catalog.geberit.co.uk/en-GB/product/PRO_332811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit Mapress Carbon Steel flange PN 10/16, with pressing socket (FKM, blue) | Geberit product catalogue",,,,,,,,,,,,,5.5 cm,,,,,,,,,,,,,108 mm,,,,,103.9 mm,,,,,180 mm,2 cm,,,18 mm,8 pc.,,,
,,,,,,,,,690.111.00.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/25/07/DAS_122507_20170925_160114.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit set of cutting wheels for pipe cutter ML | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16–75 mm,,,,,,,,,,,,,,,,,,
,,40–56 mm,,,,,,,390.295.14.1,,,,,,,,,,,,,,,,,,,40 / 50,,,,,,,,,,,,,,,,6.3 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/80/DAS_121380_20170925_172023.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit adaptor sleeve to cast iron | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,58 mm,,,,,,,,,,,,,,,,,,
,,56–75 mm,,,,,,,390.395.14.1,,,,,,,,,,,,,,,,,,,56 / 70,,,,,,,,,,,,,,,,7.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/80/DAS_121380_20170925_172023.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit adaptor sleeve to cast iron | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,78 mm,,,,,,,,,,,,,,,,,,
,,75–90 mm,,,,,,,390.495.14.1,,,,,,,,,,,,,,,,,,,70 / 80 / 90,,,,,,,,,,,,,,,,7.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/80/DAS_121380_20170925_172023.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit adaptor sleeve to cast iron | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,83 mm,,,,,,,,,,,,,,,,,,
,,104–110 mm,,,,,,,390.595.14.1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,9.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/80/DAS_121380_20170925_172023.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit adaptor sleeve to cast iron | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,110 mm,,,,,,,,,,,,,,,,,,
,,125 mm,,,,,,,390.695.14.1,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,10.3 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/80/DAS_121380_20170925_172023.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit adaptor sleeve to cast iron | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21901,,,,,,,,,,,,,,,,,,,10 / 15,,,,,,,,,,,,,,,,4.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,5.8 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,12 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21902,,,,,,,,,,,,,,,,,,,12 / 15,,,,,,,,,,,,,,,,4.8 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,6.1 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,15 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21903,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,4.8 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,6.1 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,18 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21904,,,,,,,,,,,,,,,,,,,15 / 20,,,,,,,,,,,,,,,,4.9 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,6.4 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,3/4 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,18 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21905,,,,,,,,,,,,,,,,,,,20 / 15,,,,,,,,,,,,,,,,4.9 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,6.2 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,22 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21906,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,6.5 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,3/4 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,22 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21907,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,4.4 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,5.4 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,3/8 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,12 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21908,,,,,,,,,,,,,,,,,,,12 / 10,,,,,,,,,,,,,,,,6 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,7.4 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,3/8 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,15 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21910,,,,,,,,,,,,,,,,,,,25 / 15,,,,,,,,,,,,,,,,5.6 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,7.1 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,28 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21912,,,,,,,,,,,,,,,,,,,32 / 15,,,,,,,,,,,,,,,,5.2 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,7.7 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,35 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21914,,,,,,,,,,,,,,,,,,,40 / 15,,,,,,,,,,,,,,,,5.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,8.1 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,42 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21916,,,,,,,,,,,,,,,,,,,50 / 15,,,,,,,,,,,,,,,,6.2 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,8.6 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,54 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21918,,,,,,,,,,,,,,,,,,,65 / 15,,,,,,,,,,,,,,,,8.7 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,10.5 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,76.1 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21920,,,,,,,,,,,,,,,,,,,80 / 15,,,,,,,,,,,,,,,,10.2 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,11.5 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,88.9 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,21922,,,,,,,,,,,,,,,,,,,100 / 15,,,,,,,,,,,,,,,,11.4 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/22/93/DAS_122293_20170925_153931.jpg",,,,,,,12.7 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_103199,,,,,,,,,,,,,1/2 ″,,,,,,,,,,,,,,,,,,,,,Geberit Mapress Carbon Steel adaptor with female thread and plain end | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,108 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,655.082.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/70/74/DAS_2327074_20210915_100005.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_4242689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit FlowFit pressing jaw [2], in case | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 25 / 32 / 40 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,655.083.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/13/32/DAS_4251332_20240620_133433.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_4242689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit FlowFit pressing jaw [2], in case | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 25 / 32 / 40 / 50 / 63 / 75 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,116.062.00.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/56/13/DAS_285613_20170925_174238.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_228306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geberit hybrid trap adapter d125, for urinals | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,125 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,211650000,,28 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,29.5 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/61/61/DAS_476161_20191112_170803.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,horizontal,,,https://catalog.geberit.co.uk/en-GB/product/PRO_450234,,,,,,,,,,,,,,,,,,,,,,,,,37.5 cm,,,,,,,,,"Geberit Bambini floor-standing WC for small children, washdown WC | Geberit product catalogue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,500.524.00.1,,58 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8 cm,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/92/51/DAS_369251_20170926_143108.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_1832953,,,,,,,,,,,,,,,,,,,,,,,,,45 cm,,,,,,,,,Geberit Xeno² glass shelf | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,367.945.16.1,,,,,,,,,,,,,,,,,,,100 / 90,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/14/87/DAS_121487_20170925_174137.jpg",,,3 cm,,,,8.7 cm,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_101623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit HDPE connection bend 45° with connection ring seal socket for wall-hung WC | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,6 cm,,45 °,,,,110 mm,90 mm,,,,,,,,,,,,,,,,,
,,,,,,,,,690.250.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/70/66/DAS_377066_20190212_134955.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_274732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit Mepla set of pressing jaws [2] | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 26 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,690.251.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/70/66/DAS_377066_20190212_134955.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_274732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit Mepla set of pressing jaws [2] | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 26 / 32 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,690.252.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/70/66/DAS_377066_20190212_134955.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_274732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit Mepla set of pressing jaws [2] | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 26 / 32 / 40 mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,690.253.00.1,,,,,,,,,,,,,[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://images.data.geberit.com/image/upload/f_auto,t_ProductThumbnail/70/66/DAS_377066_20190212_134955.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://catalog.geberit.co.uk/en-GB/product/PRO_274732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geberit Mepla set of pressing jaws [2] | Geberit product catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,16 / 20 / 26 / 32 / 40 / 50 mm,,,,,,,,,,,,,,,,,,
